Material|Ms (MA/m)|Aex (pJ/m)|Ku (MJ/m3)|Hc (T)
La2Fe14B|1.098|7.410|1.400|0.500
Ce2Fe14B|0.931|6.000|1.700|0.540
Pr2Fe14B|1.241|7.940|4.660|1.540
Nd2Fe14B|1.273|8.230|4.650|1.240
Gd2Fe14B|0.708|9.330|0.850|0.234
Tb2Fe14B|0.557|8.780|6.130|2.930
Dy2Fe14B|0.565|9.420|4.240|1.700
Ho2Fe14B|0.644|8.140|2.420|0.750
Lu2Fe14B|0.931|7.660|1.210|0.294
Y2Fe14B|1.122|8.010|1.460|0.187
Th2Fe14B|1.122|6.770|1.460|0.170
La2Co14B|0.792|15.000|1.189|0.345
Pr2Co14B|1.040|15.100|5.201|2.500
Nd2Co14B|1.076|15.100|2.422|3.694
Gd2Co14B|0.229|15.200|1.034|0.300
Y2Co14B|0.847|15.201|1.187|0.344
Nd-La-Ce-Fe-B|0.746|6.000|2.250|0.652
La-Ce-Y-Fe-B|0.525|6.000|1.500|0.415
NdPrFe14B|1.273|7.700|4.200|0.800
(Nd0.91Ce0.089)2Fe14B|1.242|8.083|4.500|1.100
(Nd0.78Ce0.22)2Fe14B|1.268|7.864|4.600|1.030
(Nd0.62Ce0.38)2Fe14B|1.200|7.673|3.100|0.900
Nd2Fe14B-alloy|1.129|10.000|4.900|1.420
48H,Nd-Fe-B|1.107|10.000|6.039|1.750
Tb75Cu25|1.081|10.000|10.007|2.900
Tb65Ce10Cu25|1.074|10.000|9.662|2.800
Tb55Ce20Cu25|1.093|10.000|9.662|2.800
Tb45Ce30Cu25|1.097|10.000|9.179|2.660
Tb30Ce45Cu25|1.103|10.000|8.868|2.570
Nd12Fe82B6|1.461|7.651|4.500|1.094
Nd11Ce1Fe82B6|1.354|7.459|4.125|1.040
Nd10Ce2Fe82B6|1.325|7.268|3.750|0.961
Nd8Ce4Fe82B6|1.276|6.886|3.000|0.844
Nd6Ce6Fe82B6|1.208|6.503|2.250|0.768
Nd4Ce8Fe82B6|1.111|6.120|1.950|0.684
Nd2Ce10Fe82B6|1.049|5.738|1.560|0.518
Nd1Ce11Fe82B6|0.905|5.547|1.430|0.405
Ce12Fe82B6|0.751|5.355|1.300|0.315
MnAl(300 K)|0.801|3.484|0.150|0.024
CoPt(300 K)|0.603|6.770|6.062|0.951
FePt(300 K)|1.145|6.660|1.140|0.179
FePd(4 K)|1.192|6.507|1.841|0.289
Fe3Sn|1.180|7.772|1.800|1.483
Fe2.5Mn0.5Sn0.95Sb0.05|1.020|6.893|1.150|0.947
Fe1.5Mn1.5Sn0.90Sb0.10|0.680|4.331|0.010|0.008
Fe1.5Mn1.5Sn0.85Sb0.15|0.650|4.285|0.010|0.008
Fe5SN3(1100 K)|0.700|6.398|0.005|0.004
Fe5SN3(1155 K)|0.750|7.599|0.005|0.004
Fe5SN3-Crystal(1100 K)|0.700|7.418|0.350|0.288
FeNi(300 K)|1.273|3.300|1.323|0.140
Fe5Ge|1.432|14.700|0.230|0.002
L10FeNi(Si substrate)*|1.193|10.000|0.380|0.029
Fe3Sn0.75Sb0.25‚ąó|1.209|10.000|0.330|0.051
CoFe6Ta‚ąó|1.448|14.900|1.000|0.099
L10FeNi(bulk)‚ąó|1.098|10.000|1.100|0.140
MnAl*|0.636|7.600|0.700|0.186
Nd0.2Zr0.8Fe10Si2‚ąó|0.891|10.000|1.160|0.210
Sm0.7Zr0.3Fe10Si2‚ąó|0.859|10.000|3.500|0.199
Alnico5*|1.120|6.600|0.680|0.071
CoPt*|0.800|14.000|4.900|1.400
FePt*|1.140|12.000|6.600|0.800
SmCo5-A*|0.860|12.000|17.200|7.500
Pr2Co17‚ąó|0.847|4.244|5.090|0.038
Pr1.64Sm0.36Fe17‚ąó|0.749|4.455|2.490|0.019
Sm2Co17|0.970|14.424|3.300|1.250
Nd2Fe14B|1.280|8.965|4.900|2.000
Sm2Fe17N3|1.230|10.966|8.600|2.300
YCo5|0.779|7.110|5.500|3.900
LaCo5|0.712|6.470|6.300|5.250
CeCo5|0.597|5.130|6.400|5.700
PrCo5|0.939|6.960|8.100|5.325
NdCo5|0.933|7.090|0.240|0.150
MMCo5|0.715|4.720|6.400|5.620
MM0.8Sm0.2Co5|0.779|5.757|7.800|6.855
Sm0.6Gd0.4Co5|0.580|5.683|7.700|6.768
Sm2(Co0.7Pe0.3)17|1.154|2.214|3.000|2.637
Sm2(Co0.8Pe0.1)17|1.042|3.174|4.300|3.779
Sm(Co0.87Cu0.13)7.8|0.867|2.436|3.300|2.900
Fe2P‚ąó|0.668|12.170|0.770|0.027
(Fe0.91Co0.09)2P0.89Si0.11‚ąó|0.716|13.332|0.860|0.014
(Fe0.91Co0.09)2P0.86Si0.14‚ąó|0.732|13.913|0.890|0.008
(Fe0.91Co0.09)2P0.81Si0.19‚ąó|0.763|14.835|1.090|0.004
(Fe0.92Co0.08)2P0.78Si0.22‚ąó|0.803|16.419|0.930|0.002
(Fe0.91Co0.09)2P0.74Si0.26‚ąó|0.380|11.000|0.330|0.470
Co|0.371|5.723|0.274|0.392
Fe|0.303|5.868|0.287|0.432
Fe70Co30|0.362|5.478|0.334|0.583
Fe60Co20B20|0.420|6.100|0.310|0.503
Co93Gd7|0.415|5.999|0.293|0.450
Co80Gd20|0.465|5.716|0.302|0.476
CoFe2O4|0.434|5.706|0.298|0.465
CoEu0.03Fe1.97O4|0.451|5.489|0.280|0.409
CoEu0.06Fe1.94O4|0.391|6.238|0.281|0.413
CoEu0.09Fe1.91O4|0.331|6.099|0.265|0.366
CoEu0.12Fe1.88O4|0.350|5.976|0.254|0.338
BaFe12O19|0.326|5.677|0.215|0.241
SrFe12O19|0.267|5.894|0.253|0.335
Sr0.7La0.3Fe12O19|0.272|5.898|0.251|0.329
SrLaFexCoxAlxO0.2|0.283|5.900|0.255|0.339
SrLaFexCoxAlxO0.4|0.278|5.839|0.306|0.488
SrLaFexCoxAlxO0.6|0.289|5.284|0.303|0.481
SrLaFexCoxAlxO0.8|0.300|5.288|0.268|0.376
Sr0.7Pr0.3Fe12O19|0.192|5.279|0.293|0.449
SrPrFexCoxAlxO0.2|0.293|5.284|0.257|0.345
SrPrFexCoxAlxO0.4|0.318|5.291|0.210|0.230
SrPrFexCoxAlxO0.6|0.265|4.906|0.288|0.434
SrPrFexCoxAlxO0.8|0.273|5.426|0.287|0.431
BaFe12O19-B|0.323|5.424|0.285|0.426
Al900|0.400|5.693|0.218|0.248
Al950|0.398|5.684|0.228|0.272
Al1000|0.387|5.653|0.231|0.280
Bi900|0.364|5.646|0.221|0.256
Bi950*|0.201|6.000|0.340|0.322
Bi1000*|0.144|5.969|0.267|0.253
Cr900*|0.111|5.945|0.214|0.203
Cr950*|0.070|5.911|0.139|0.132
Cr1000*|0.050|5.895|0.838|0.793
Mn900*|0.036|5.868|0.086|0.081
Mn950*|0.232|5.215|0.340|0.329
Mn1000*|0.201|4.268|0.377|0.404
Sr1‚ąíxNdxFe12O190.0‚ąó|0.190|3.796|0.421|0.503
Sr1‚ąíxNdxFe12O190.05‚ąó|0.164|2.769|0.459|0.600
Sr1‚ąíxNdxFe12O190.1‚ąó|0.159|2.216|0.508|0.734
Sr1‚ąíxNdxFe12O190.15‚ąó|0.292|0.413|0.462|0.608
BaFe12O19-C|0.308|0.338|0.416|0.492
BaFe12‚ąí2xAlxCrxO190|0.332|0.411|0.284|0.230
BaFe12‚ąí2xAlxCrxO190.2|0.334|0.276|0.274|0.213
BaFe12‚ąí2xAlxCrxO190.4|0.328|0.304|0.216|0.133
BaFe12‚ąí2xAlxCrxO190.6|0.294|0.295|0.197|0.110
BaFe12‚ąí2xAlxCrxO190.8|0.369|5.700|0.497|0.704
BaFe12‚ąí2xAlxCrxO191|0.371|5.700|0.507|0.731
SrCrxFe12‚ąíxO190|0.370|5.710|0.516|0.758
SrCrxFe12‚ąíxO190.3|0.375|5.710|0.522|0.775
SrCrxFe12‚ąíxO190.5|0.373|5.710|0.526|0.788
SrCrxFe12‚ąíxO190.7|0.366|5.710|0.512|0.747
SrCrxFe12‚ąíxO190.9|0.358|5.710|0.510|0.742
SrCoxZrxFe12‚ąí2xO190|0.342|5.710|0.509|0.739
SrCoxZrxFe12‚ąí2xO190.2|0.306|5.710|0.502|0.718
SrCoxZrxFe12‚ąí2xO190.4|0.358|6.000|0.183|0.096
SrCoxZrxFe12‚ąí2xO190.6|0.365|5.700|0.121|0.042
SrCoxZrxFe12‚ąí2xO190.8|0.358|5.400|0.028|0.040
SrCoxZrxFe12‚ąí2xO191|0.340|5.100|0.067|0.097
Sr0.75‚ąíxLa0.25CaxFeCoO0|0.323|4.800|0.066|0.097
Sr0.75‚ąíxLa0.25CaxFeCoO0.05|0.309|4.500|0.087|0.129
Sr0.75‚ąíxLa0.25CaxFeCoO0.1|0.369|5.700|0.410|0.273
Sr0.75‚ąíxLa0.25CaxFeCoO0.15|0.369|5.130|0.424|0.298
Sr0.75‚ąíxLa0.25CaxFeCoO0.2|0.363|4.850|0.412|0.328
Sr0.75‚ąíxLa0.25CaxFeCoO0.25|0.356|4.560|0.408|0.352
Sr0.75‚ąíxLa0.25CaxFeCoO0.3|0.348|4.280|0.403|0.375
Sr0.75‚ąíxLa0.25CaxFeCoO0.4|0.347|3.990|0.405|0.405
Sr0.75‚ąíxLa0.25CaxFeCoO0.6|0.354|5.700|0.382|0.247
SrCaLax0|0.357|5.130|0.422|0.342
SrCaLax0.1|0.361|4.850|0.415|0.318
SrCaLax0.2|0.351|4.560|0.414|0.336
SrCaLax0.3|0.349|4.280|0.411|0.367
SrCaLax0.4|0.350|3.990|0.409|0.415
SrCaLax0.5|0.343|5.884|0.297|0.652
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-sin0|0.333|5.822|0.291|0.726
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-sin0.1|0.330|5.753|0.292|0.770
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-sin0.15|0.325|5.696|0.292|0.780
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-sin0.2|0.320|5.626|0.289|0.804
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-sin0.25|0.302|5.556|0.288|0.755
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-sin0.3|0.274|5.487|0.289|0.662
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-ane0|0.308|6.000|0.313|0.203
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-ane0.1|0.293|0.908|0.279|0.190
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-ane0.15|0.279|23.752|0.151|0.108
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-ane0.2|0.280|6.409|0.108|0.077
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-ane0.25|0.287|6.890|0.122|0.085
Sr1‚ąíxLaxFe12‚ąíxCoxO19-del-ane0.3|0.295|7.179|0.138|0.093
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190|0.274|5.610|0.295|0.158
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190.1|0.871|4.418|0.044|0.020
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190.2|0.865|4.565|0.667|0.300
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190.3|0.847|4.771|2.667|1.200
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190.4|0.830|4.844|4.889|2.200
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190.5|0.822|4.852|4.889|2.200
Sr1.05‚ąíxLaxFe12‚ąíxCoxO190.6|0.810|4.874|3.556|1.600
Sr1‚ąíxCexFe12O190|0.860|4.823|4.000|1.800
Sr1‚ąíxCexFe12O190.05|1.034|13.800|2.500|1.208
Sr1‚ąíxCexFe12O190.1|1.098|13.400|1.600|0.728
Sr1‚ąíxCexFe12O190.15|0.708|8.300|16.500|11.649
Sr1‚ąíxCexFe12O190.2|0.652|8.000|15.100|11.570
Sr1‚ąíxCexFe12O190.25|0.604|7.700|13.500|11.161
Sr1‚ąíxCexFe12O190.3|0.557|7.400|12.000|10.771
Sm2Fe15Ga2‚ąó|0.517|7.100|10.400|10.053
Sm2Fe14.5Cu0.5Ga2‚ąó|0.431|9.910|3.991|1.700
Sm2Fe14.5Cu0.5Ga2C0.5‚ąó|0.351|9.860|4.460|1.900
Sm2Fe14.5Cu0.5Ga2C1.0‚ąó|0.344|9.890|5.634|2.400
Sm2Fe14.5Cu0.5Ga2C1.5‚ąó|0.394|9.880|9.343|3.980
Sm2Fe14.5Cu0.5Ga2C2.0‚ąó|0.332|10.000|10.000|4.260
Sm2Fe15Ga2C1.0|1.330|20.000|2.000|0.700
Sm2(Co0.90Fe0.1)17|0.779|12.300|9.240|2.333
Sm2(Co0.80Fe0.2)17|0.619|7.977|2.000|0.166
Sm(Co0.95Cu0.05)5|0.534|7.262|1.800|0.515
Sm(Co0.90Cu0.1)5|0.450|6.033|1.600|0.865
Sm(Co0.85Cu0.15)5|0.362|5.493|1.300|1.213
Sm(Co0.80Cu0.25)5|0.312|4.846|1.200|1.903
Sm(Co0.75Cu0.25)5|0.281|3.925|1.000|2.692
Sm(Co0.90Cu0.1)4.8,5|0.239|2.994|0.800|1.221
Sm(Co0.90Cu0.1)4.8,15|0.197|1.035|0.700|0.906
Sm(Co0.90Cu0.1)4.8,30|0.641|4.176|0.900|0.046
Sm(Co0.90Cu0.1)4.8,40|0.645|4.349|0.747|0.047
Sm(Co0.90Cu0.1)4.8,50|0.703|4.537|0.593|0.046
SmCoCuTi‚ąó|0.708|4.689|0.440|0.044
Sm(CobalFe0.1Cu0.1Zr0.033)6.93*|0.760|4.794|0.286|0.046
SmCo4.5Cu0.5‚ąó|0.971|6.284|1.200|0.047
SmCo4Cu‚ąó|0.941|6.043|1.445|0.062
SmCo3.5Cu1.5‚ąó|0.939|6.100|1.689|0.070
SmCo3Cu2‚ąó|0.927|6.092|1.934|0.076
SmCo2.5Cu2.5‚ąó|0.922|6.148|2.178|0.091
SmCo2Cu3‚ąó|0.909|6.171|2.912|0.100
SmCoCu4‚ąó|0.324|3.942|1.040|0.057
0xy1,Ce1‚ąíxNdxFe12‚ąíyMoy‚ąó|0.438|3.973|0.060|0.050
0.2xy1‚ąó|0.536|4.091|0.061|0.050
0.4xy1‚ąó|0.585|4.256|0.064|0.049
0.6xy1‚ąó|0.650|4.356|0.062|0.047
0.8xy1‚ąó|0.681|4.490|0.070|0.041
1xy1‚ąó|0.767|5.743|0.063|0.038
0xy1N‚ąó|0.767|5.847|0.092|0.103
0.2xy1N‚ąó|0.748|5.975|0.118|0.152
0.4xy1N‚ąó|0.724|5.944|0.132|0.198
0.6xy1N‚ąó|0.699|5.962|0.142|0.248
0.8xy1N‚ąó|0.681|5.934|0.168|0.307
1xy1N‚ąó|0.173|3.454|0.182|0.050
0xy15‚ąó|0.187|3.592|0.037|0.040
0.2xy15‚ąó|0.269|3.763|0.044|0.040
0.4xy15‚ąó|0.301|3.832|0.054|0.044
0.6xy15‚ąó|0.383|3.994|0.057|0.038
0.8xy15‚ąó|0.480|4.211|0.061|0.037
1xy15‚ąó|0.613|4.928|0.056|0.034
0xy15N‚ąó|0.552|5.066|0.058|0.088
0.2xy15N‚ąó|0.575|5.214|0.157|0.170
0.4xy15N‚ąó|0.541|5.177|0.228|0.217
0.6xy15N‚ąó|0.534|5.267|0.287|0.290
0.8xy15N‚ąó|0.559|5.393|0.347|0.334
1xy15N‚ąó|0.161|6.600|0.419|0.135
0xy2‚ąó|1.020|5.900|0.017|0.151
0.2xy2‚ąó|0.251|6.130|0.015|0.162
0.4xy2‚ąó|0.426|6.310|0.022|0.170
0.6xy2‚ąó|0.505|6.320|0.027|0.178
0.8xy2‚ąó|0.227|3.630|0.029|0.322
1xy2‚ąó|0.609|12.000|0.035|0.178
0xy2N‚ąó|0.411|5.040|0.041|0.232
0.2xy2N‚ąó|0.401|4.950|0.097|0.310
0.4xy2N‚ąó|0.314|9.200|0.196|0.222
0.6xy2N‚ąó|1.122|9.370|0.235|1.499
0.8xy2N‚ąó|1.073|9.130|0.310|1.638
1xy2N‚ąó|0.999|8.790|0.374|1.863
Sm-Alnico-0.1|0.924|8.540|4.143|1.972
Sm-Alnico-10.7|0.826|8.300|3.789|2.018
Sm-Alnico-12|1.125|9.490|4.293|1.678
Sm-Alnico-13.3|1.087|9.330|4.653|1.882
Sm-Alnico-13.7|1.014|9.050|4.577|1.985
Sm-Alnico-16|0.930|8.720|4.448|2.102
Sm-Alnico-17|0.840|8.410|4.299|2.252
Sm-Alnico-17.6|1.144|9.620|4.675|1.798
Sm-Alnico-18.4|1.110|9.490|4.985|1.975
Sm-Alnico-19|1.048|9.340|4.898|2.056
Sm2Co16V0.2|0.961|9.130|4.883|2.235
Sm2Co16V0.4|0.865|8.950|4.871|2.477
Sm2Co16V0.6|1.121|9.630|3.981|1.562
Sm2Co16V0.8|1.069|9.590|3.789|1.559
Sm2Co16V1|0.983|9.480|3.521|1.575
Sm2Co16Ti0.2|0.887|9.360|3.500|1.735
Sm2Co16Ti0.3|0.887|9.360|3.500|1.735
Sm2Co16Ti0.4|0.887|9.360|3.500|1.735
Sm2Co16Ti0.5|0.887|9.360|3.500|1.735
Sm2Co16Ti0.6|0.887|9.360|3.500|1.735
Sm2Co16Ti0.7|0.887|9.360|3.500|1.735
Sm2Co16Ti0.8|0.887|9.360|3.500|1.735
Sm2Co16Ti0.9|0.887|9.360|3.500|1.735
Sm2Co16Ti0.10|0.887|9.360|3.500|1.735
Sm2Co16Ti0.11|0.887|9.360|3.500|1.735
Sm2Co16Ti0.12|0.887|9.360|3.500|1.735
Sm2Co16Ti0.13|0.887|9.360|3.500|1.735
Sm2Co16Ti0.14|0.887|9.360|3.500|1.735
Sm2Co16Hf0.8‚ąó|0.950|8.640|4.219|0.670
Sm2Co16Hf1.0‚ąó|0.885|8.490|4.253|0.911
Ce2Co17‚ąó|0.698|8.060|4.461|1.298
Ce2Co16Cu1‚ąó|0.972|8.780|4.800|0.468
Ce2Co16V0.2*|0.918|8.700|5.973|0.582
Ce2Co16V0.4*|0.828|8.560|6.058|0.735
Ce2Co16V0.6*|0.614|8.320|6.812|1.043
Ce2Co16V1.0*|0.949|7.940|1.100|0.526
Ce2Co16Ti0.2|0.899|7.030|1.471|0.703
Ce2Co16Ti0.3|0.827|5.890|1.234|0.789
Ce2Co16Ti0.6|0.755|4.470|1.020|0.731
Ce2Co16Ti1.0|0.928|7.550|0.983|0.654
Ce2Co16Zr0.2|0.886|5.930|1.137|0.676
Ce2Co16Zr0.4|0.737|4.660|0.828|0.509
Ce2Co16Zr0.6|0.513|3.140|1.200|0.427
Ce2Co16Zr1.0|0.993|8.840|1.183|0.420
Ce2Co16Hf0.2|1.018|8.740|1.377|0.482
Ce2Co16Hf0.4|1.037|8.600|1.123|0.452
Ce2Co16Hf0.6|1.059|8.440|1.169|0.440
Ce2Co16Hf1.0|1.081|8.190|1.116|0.409
Ce2Co16Cr0.2|1.101|7.920|1.100|0.375
Ce2Co16Cr0.5|1.118|7.330|1.068|0.334
Ce2Co16Cr1.5|1.138|6.660|1.128|0.314
Ce2Co16Cr2.0|1.138|6.660|1.128|0.314
